x,y
-1.249421283032706, -49.12122222027328
-1.1187802250693315, -44.77293855571732
-1.0302766381701085, -41.743698584483695
-0.956544658614288, -38.945992878567296
-0.8923701038252618, -36.560488326814124
-0.8210446700740299, -33.96800617424708
-0.7406316609749948, -31.0931223798916
-0.6641264238729343, -28.13229025977443
-0.599161146890972, -25.232849800915613
-0.5351928674566249, -22.664924312851905
-0.4778941578235658, -20.4495623651576
-0.40271825078499224, -16.806405781340445
-0.34662281405422735, -14.489309080703727
-0.28596640003667106, -11.502166248618686
-0.22349934679471017, -8.32909438529407
-0.16644129174210986, -5.087614670852993
-0.0864866723201394, -0.05349844766799805
-0.02092548875799305, 4.5701706688182995
0.04307716990213395, 9.169283120801246
0.09570030482913539, 13.384259178053355
0.14872453072356806, 18.146498044237077
0.20949554216039057, 23.966427531529007
0.26363136302170487, 30.226622932416547
0.31542939652999014, 37.69360298889687
0.37090600719671807, 49.16156531195733
